K	pH	P
21	6.5	1.6
22	6.4	1.6
25	6.6	2.2
20	6.4	2.1
27	6.1	2
27	8.1	3.8
19	8.3	4.2
32	8	32.9
27	8.1	35
28	8.2	27
23	8.1	17.1
22	8.2	8.4
20	8	6
21	8.3	2.4
23	8	2.7
24	7.8	2.3
20	8	2.6
29	8	1.1
42	8	1
36	8.3	4.5
42	8.2	1.3
37	8.1	1.4
33	8.3	4.5
35	8	3
32	8.2	3.6
30	8	12.1
27	7.9	1.2
27	6.7	3.9
19	7.8	2.5
21	7.1	2.9
32	6.3	2.1
30	5.9	1.7
27	6	1
27	6.8	1.8
28	8.2	3.5
20	8.3	3.6
38	8	30
26	8.1	49
24	8	32.4
28	8.3	4
28	8.4	1.2
27	8.3	3
29	8.3	1.4
27	8.3	4.2
33	8.1	1.2
36	8.1	1.6
27	8.1	5.4
24	8	2.1
27	8.4	3.1
33	8.2	1.6
40	8.1	3.3
41	8.1	4.8
36	7.5	3.1
24	8	2.9
25	7.1	6.8
24	6.6	2.9
28	7.8	5.3
26	7.8	5.1
25	7.8	7.5
20	7.9	7.5
23	7.9	6.3
22	7.8	5.4
32	8	6
29	8.3	3.4
19	8.4	3.8
54	7.9	25.3
42	8	21
41	8.1	19.2
37	8.4	2.2
35	8.4	1.5
33	8.1	1
39	8.3	1.1
53	8.3	2
42	7.8	1.9
28	7.9	1.5
27	8	2.2
26	8	1
26	8.5	4.2
42	8.5	4.5
38	8.1	6.9
36	8	7.5
31	7.8	3.6
20	7	3.1
26	6.9	3
26	7.9	5.2
23	8	6.1
28	7.9	6.4
20	8	10.6
19	8	6
24	8.2	8.7
34	7.7	5.2
29	8.4	3.5
18	8.5	2
41	8.2	12
30	8.1	7.2
30	8	8.9
35	8.3	2.2
33	8.3	1.3
26	8.3	0.7
27	8.2	3.2
41	8.3	1.5
33	8	0.8
36	8	1.2
27	8.1	2.7
28	8	2.1
32	8.4	6.6
39	8.3	5.4
39	8.1	5.4
39	8	8.1
27	8.1	4.3
20	6	4.7
26	6.2	2.1
28	8	8
23	8	9
27	7.9	9.8
24	7.8	8.1
32	8	14
32	8	11.1
44	7.5	20.4
28	8.5	3.8
18	8.4	3.2
39	8.2	4.7
38	8.2	5.8
32	8.2	2.5
30	8.2	0.7
28	8.3	0.7
28	8.4	1
35	8.4	2.2
28	8.2	1.2
24	8	1.6
29	7.9	2.9
26	8.2	2.5
31	8.4	10.5
31	8.3	10.2
36	8.2	5.4
34	8.1	5.3
31	8.1	5
24	5.8	3.1
25	6.2	2.5
31	7.8	7.2
26	8	6.8
25	7.8	2.3
35	7.5	11.4
31	8	12
28	7.9	7.8
25	8	8.1
24	8.5	3.8
19	8.4	3.6
38	8.2	3.2
41	8.2	2.6
30	8.2	1.8
28	8.2	0.9
39	8.3	1.1
33	8.4	2.3
29	8.3	3.6
25	8.2	0.9
38	8	4.3
23	8	3.4
26	8.1	2.5
28	8.4	12.5
29	8.2	12
38	8.1	5.1
38	8.2	7.2
28	6.8	3
24	6	4.2
25	6.2	2.7
28	7.6	6.1
24	7.8	4.6
29	8	6.1
19	7.8	8.4
22	8	7.5
29	8	6
39	7.8	7.5
24	8.4	3.2
39	7.9	12.1
38	8.2	8.7
36	8.2	4.7
33	8.2	2.2
28	8.4	2.9
27	8.4	3.6
26	8.2	4.2
28	8.2	3
31	8.1	6.6
29	7.9	6.3
24	8	7.2
29	8.4	13.5
30	8	5.7
35	8.3	9.1
38	7.6	7.5
29	6.1	2
30	6.8	6
23	8.2	6.4
23	7.6	5.1
29	8.1	6.8
29	7.9	9
23	7.9	7.5
20	8	6.6
38	7.9	6
36	8.6	5.4
