SUP	Solo	Amostra	X	AMG	AG	AM	AF	AMF	SILTE	ARGILA	S_A	AF_AG	P	pH	K	Ca	Mg	H_Al	SB	T	V
II	PV1	38	925	0.60	9.70	32.30	14.10	24.90	0.80	17.60	0.05	1.45	142.00 	5.10 	0.22 	3.10 	0.50 	3.10 	3.82 	6.92 	55.00 
II	PV1	39	950	0.30	7.39	27.90	12.90	27.30	3.30	20.90	0.16	1.75	56.00 	5.10 	0.17 	3.00 	0.60 	2.80 	3.77 	6.57 	57.00 
II	PV1	40	975	0.30	8.09	32.10	18.90	20.10	2.20	18.30	0.12	2.34	134.00 	4.70 	0.09 	2.20 	0.40 	3.80 	2.69 	6.49 	41.00 
II	PV1	41	1000	0.30	8.19	33.70	12.50	24.00	2.90	18.50	0.16	1.53	209.00 	5.50 	0.14 	4.70 	0.70 	2.80 	5.54 	8.34 	66.00 
II	PV1	42	1025	0.20	10.12	37.20	10.70	21.20	2.00	18.60	0.11	1.06	147.00 	5.20 	0.09 	3.20 	0.70 	3.10 	3.99 	7.09 	56.00 
II	PV2	43	1050	0.40	7.60	28.80	17.50	18.20	2.80	24.70	0.11	2.30	16.00 	4.40 	0.19 	2.20 	0.40 	2.80 	2.79 	5.59 	50.00 
II	PV2	44	1075	0.30	7.58	36.50	19.90	16.20	0.80	18.80	0.04	2.63	3.00 	4.80 	0.18 	2.80 	0.50 	2.30 	3.48 	5.78 	60.00 
II	PV2	45	1100	0.40	8.07	33.80	20.70	17.20	4.00	15.80	0.25	2.57	7.00 	4.20 	0.08 	1.70 	0.10 	4.20 	1.88 	6.08 	31.00 
II	PV2	46	1125	0.90	14.81	26.70	12.90	19.30	1.50	14.00	0.11	0.87	5.00 	5.60 	0.16 	2.80 	0.70 	1.30 	3.66 	4.96 	74.00 
II	PV2	47	1150	0.70	13.50	36.20	18.30	18.80	2.00	10.60	0.19	1.36	26.00 	6.10 	0.17 	3.90 	1.10 	0.90 	5.17 	6.07 	85.00 
II	PV2	48	1175	0.40	10.57	35.50	19.10	21.40	0.80	12.20	0.07	1.81	44.00 	5.90 	0.13 	3.10 	1.10 	0.90 	4.33 	5.23 	83.00 
II	PV2	49	1200	0.40	7.05	29.20	19.70	24.40	4.50	14.80	0.30	2.79	7.00 	6.00 	0.12 	1.90 	0.90 	1.00 	2.92 	3.92 	74.00 
II	PV2	50	1225	0.70	12.18	36.50	18.90	15.70	1.30	14.60	0.09	1.55	42.00 	5.90 	0.15 	2.00 	0.80 	1.00 	2.95 	3.95 	75.00 
II	PV2	51	1250	0.40	10.98	36.20	14.50	18.20	2.40	17.30	0.14	1.32	9.00 	5.90 	0.10 	3.20 	0.90 	1.10 	4.20 	5.30 	79.00 
II	PV2	52	1275	0.60	11.90	36.50	17.60	14.90	6.50	12.10	0.54	1.48	30.00 	5.70 	0.09 	2.30 	0.80 	1.30 	3.19 	4.49 	71.00 
II	PV2	53	1300	1.00	16.41	43.10	15.40	11.40	1.60	11.10	0.14	0.94	5.00 	5.70 	0.11 	2.30 	0.70 	1.00 	3.11 	4.11 	76.00 
II	PV2	54	1325	0.30	12.48	42.20	18.30	13.50	4.10	9.10	0.45	1.47	13.00 	6.00 	0.26 	3.20 	0.70 	0.90 	4.16 	5.06 	82.00 
II	PV2	55	1350	1.10	18.11	46.40	13.00	9.40	4.30	7.70	0.56	0.72	12.00 	5.40 	0.19 	2.20 	0.50 	1.20 	2.89 	4.09 	71.00 
II	PV2	56	1375	0.50	18.09	48.70	12.60	10.20	1.50	8.40	0.18	0.70	19.00 	5.80 	0.07 	2.20 	0.60 	0.90 	2.87 	3.77 	76.00 
II	PV2	57	1400	1.30	21.60	47.20	11.80	8.30	2.80	7.50	0.37	0.56	24.00 	6.10 	0.11 	3.60 	1.60 	0.60 	5.31 	5.91 	90.00 
II	PV2	58	1425	0.40	11.76	38.30	21.60	18.30	1.30	8.30	0.16	1.84	58.00 	6.30 	0.11 	3.30 	1.10 	0.80 	4.51 	5.31 	85.00 
II	PV2	59	1450	0.60	15.36	40.50	15.00	17.10	0.70	10.80	0.06	0.98	37.00 	5.90 	0.12 	2.40 	0.70 	1.00 	3.22 	4.22 	76.00 
II	PV2	60	1475	0.60	12.74	40.80	23.30	12.50	1.80	8.20	0.22	1.83	16.00 	5.60 	0.12 	2.00 	0.60 	1.10 	2.72 	3.82 	71.00 
II	PV2	61	1500	0.50	9.64	41.00	19.10	20.30	3.10	6.40	0.48	1.98	23.00 	5.20 	0.07 	2.20 	0.50 	1.30 	2.77 	4.07 	68.00 
II	PV2	62	1525	0.20	9.35	39.60	17.50	20.90	1.70	10.80	0.16	1.87	25.00 	5.50 	0.07 	2.40 	0.70 	1.10 	3.17 	4.27 	74.00 
II	PV3	63	1550	0.40	10.54	39.20	18.10	23.40	1.50	7.00	0.21	1.72	13.00 	5.80 	0.13 	2.70 	0.60 	1.20 	3.43 	4.63 	74.00 
II	PV3	64	1575	0.40	9.74	40.00	18.30	22.50	2.40	6.80	0.35	1.88	123.00 	6.20 	0.09 	4.30 	1.20 	1.00 	5.59 	6.59 	85.00 
II	PV3	65	1600	0.20	7.83	37.50	21.00	25.00	2.60	6.00	0.43	2.68	110.00 	6.10 	0.08 	4.10 	1.30 	1.00 	5.48 	6.48 	85.00 
II	PV3	66	1625	0.30	6.84	33.40	21.70	27.60	0.10	10.10	0.01	3.17	106.00 	5.70 	0.15 	3.20 	0.70 	1.60 	4.05 	5.65 	72.00 
II	PV3	67	1650	0.80	5.93	21.50	12.70	48.70	1.70	8.70	0.20	2.14	33.00 	5.50 	0.09 	2.10 	0.80 	1.50 	2.99 	4.49 	67.00 
II	PV3	68	1675	0.40	6.54	30.50	21.60	31.20	0.30	9.50	0.03	3.30	46.00 	5.40 	0.12 	2.10 	0.70 	1.50 	2.92 	4.42 	66.00 
II	PV3	69	1700	0.60	6.55	26.00	16.00	35.10	1.90	13.80	0.14	2.44	27.00 	5.80 	0.23 	3.10 	0.90 	1.20 	4.23 	5.43 	78.00 
II	PV3	70	1725	0.40	6.94	27.60	19.00	35.00	2.30	8.80	0.26	2.74	3.00 	4.60 	0.17 	1.00 	0.50 	2.50 	1.67 	4.17 	40.00 
II	PV3	71	1750	0.40	9.26	28.70	11.20	39.30	0.70	10.60	0.07	1.21	4.00 	5.40 	0.22 	2.00 	0.70 	1.50 	2.92 	4.42 	66.00 
II	PV3	72	1775	0.50	7.55	24.30	16.80	37.30	1.30	12.30	0.11	2.23	2.00 	4.80 	0.23 	1.40 	0.60 	2.20 	2.23 	4.43 	50.00 
II	PV3	73	1800	0.50	7.55	24.30	16.80	37.30	1.30	12.30	0.11	2.23	5.00 	4.90 	0.17 	1.40 	0.50 	2.00 	2.07 	4.07 	51.00 
II	PV3	74	1825	0.60	11.78	29.90	16.20	31.90	2.00	7.60	0.26	1.38	4.00 	4.80 	0.07 	1.40 	0.50 	2.50 	1.97 	4.47 	44.00 
II	PV3	75	1850	0.50	8.66	22.30	10.30	50.90	0.30	7.00	0.04	1.19	3.00 	4.70 	0.11 	1.20 	0.50 	2.50 	1.81 	4.31 	42.00 
II	PV3	76	1875	0.80	7.16	22.50	16.90	41.60	2.60	8.60	0.30	2.36	6.00 	4.80 	0.08 	1.70 	0.70 	3.10 	2.48 	5.58 	44.00 
II	PV3	77	1900	0.50	7.84	24.00	12.40	45.30	2.80	7.20	0.39	1.58	6.00 	4.40 	0.17 	0.80 	0.30 	3.10 	1.27 	4.37 	29.00 
II	PV3	78	1925	0.30	6.26	17.70	11.90	51.20	3.90	8.70	0.45	1.90	6.00 	4.90 	0.11 	2.00 	0.70 	2.80 	2.81 	5.61 	50.00 
II	PV3	79	1950	0.30	5.34	18.80	14.10	51.50	2.00	8.00	0.25	2.64	4.00 	4.60 	0.06 	1.30 	0.50 	2.80 	1.86 	4.66 	40.00 
III	PV4	80	1975	0.30	2.93	13.40	14.40	57.50	3.40	8.10	0.42	4.91	7.00 	4.90 	0.13 	1.90 	0.70 	2.50 	2.73 	5.23 	52.00 
III	PV4	81	2000	0.10	3.24	19.40	16.30	46.00	6.20	8.80	0.70	5.03	4.00 	4.60 	0.04 	1.40 	0.50 	3.10 	1.94 	5.04 	38.00 
III	PV4	82	2025	0.40	3.43	15.10	17.30	55.30	3.20	5.20	0.62	5.04	4.00 	4.70 	0.02 	1.40 	0.80 	2.50 	2.22 	4.72 	47.00 
III	PV4	83	2050	0.20	4.80	22.50	7.10	52.70	4.10	8.50	0.48	1.48	7.00 	5.00 	0.08 	2.70 	1.30 	2.80 	4.08 	6.88 	59.00 
III	PV4	84	2075	0.20	4.16	18.10	0.60	62.80	3.40	10.60	0.32	0.14	4.00 	5.20 	0.17 	2.70 	1.20 	2.00 	4.07 	6.07 	67.00 
III	PV4	85	2100	0.10	3.63	21.70	5.00	59.50	4.70	5.50	0.85	1.38	3.00 	5.00 	0.11 	2.10 	0.90 	2.80 	3.11 	5.91 	53.00 
III	PV4	86	2125	0.20	4.64	18.50	25.40	34.40	1.70	5.20	0.33	5.47	4.00 	4.90 	0.01 	2.10 	0.70 	2.50 	2.81 	5.31 	53.00 
III	PV4	87	2150	0.10	4.53	30.50	24.60	35.10	0.80	4.30	0.19	5.43	3.00 	4.90 	0.01 	1.70 	0.70 	2.00 	2.41 	4.41 	55.00 
III	PV4	88	2175	0.20	3.42	20.20	20.40	49.00	1.50	5.20	0.29	5.96	4.00 	4.80 	0.01 	1.70 	0.70 	2.50 	2.41 	4.91 	49.00 
III	PV4	89	2200	0.10	3.44	23.70	20.80	43.90	2.70	5.40	0.50	6.05	5.00 	4.90 	0.08 	2.40 	1.00 	2.50 	3.48 	5.98 	58.00 
III	PV4	90	2225	0.20	4.77	28.60	26.30	31.30	3.10	5.70	0.54	5.51	4.00 	4.80 	0.10 	2.70 	1.00 	2.80 	3.80 	6.60 	58.00 
III	PV4	91	2250	0.00	5.08	28.30	26.20	26.00	4.30	10.10	0.43	5.16	8.00 	5.00 	0.11 	3.40 	1.80 	2.80 	5.31 	8.11 	65.00 
III	PV4	92	2275	0.20	8.64	38.20	24.30	16.50	2.90	9.20	0.32	2.81	10.00 	5.00 	0.17 	4.00 	1.80 	2.80 	5.97 	8.77 	68.00 
III	PV4	93	2300	0.30	9.99	40.00	23.80	16.20	0.70	9.10	0.06	2.38	5.00 	5.00 	0.22 	4.90 	1.30 	2.80 	6.42 	9.22 	70.00 
III	PV4	94	2325	0.20	6.37	26.90	19.10	21.50	6.30	19.60	0.32	3.00	9.00 	5.10 	0.12 	12.80 	2.60 	5.20 	15.5 	20.7 	75.00 
III	R	95	2350	0.10	5.25	29.90	24.10	18.30	9.90	12.50	0.79	4.59	14.00 	6.00 	0.19 	21.60 	3.30 	1.80 	25.1 	26.9 	93.00 
III	R	96	2375	0.00	6.21	31.60	15.50	24.90	10.30	11.50	0.90	2.50	15.00 	6.30 	0.17 	21.60 	3.00 	1.30 	24.8 	26.1 	95.00 
III	R	97	2400	0.00	2.23	13.20	30.90	32.20	10.00	11.50	0.87	13.86	9.00 	6.30 	0.14 	27.60 	3.60 	1.30 	31.3 	32.6 	96.00 
III	R	98	2425	0.00	2.94	21.60	16.40	33.70	10.30	15.10	0.68	5.58	13.00 	5.90 	0.08 	25.50 	3.30 	2.50 	28.9 	31.4 	92.00 
III	R	99	2450	0.00	2.01	19.90	23.90	25.50	11.40	17.40	0.66	11.89	10.00 	6.30 	0.08 	25.60 	3.60 	1.30 	29.3 	30.6 	96.00 
III	PV5	100	2475	0.00	2.18	23.80	31.20	23.40	8.20	11.10	0.74	14.31	14.00 	5.70 	0.12 	21.30 	3.60 	2.50 	25.0 	27.5 	91.00 
III	PV5	101	2500	0.00	1.24	17.50	31.50	34.20	3.20	12.40	0.26	25.40	10.00 	5.30 	0.16 	10.10 	1.50 	3.40 	11.8 	15.2 	78.00 
III	PV5	102	2525	0.00	3.93	33.40	16.40	29.60	2.50	14.10	0.18	4.17	44.00 	5.10 	0.14 	11.80 	2.10 	4.70 	14.0 	18.7 	75.00 
III	PV5	103	2550	0.10	4.47	35.70	25.50	23.00	4.70	6.60	0.71	5.70	32.00 	5.10 	0.24 	6.00 	1.40 	3.40 	7.6 	11.0 	69.00 
III	PV5	104	2575	0.00	4.63	20.80	17.30	39.60	5.10	12.60	0.40	3.74	43.00	5.20	0.37	8.10	1.90	3.80	10.37	14.17	73.00
III	PV5	105	2600	0.00	4.46	27.30	27.00	24.50	2.60	14.20	0.18	6.05	56.00	5.10	0.16	10.00	2.10	4.70	12.26	19.96	72.00
III	PV5	106	2625	0.00	6.50	30.20	11.10	34.20	3.60	14.40	0.25	1.71	38.00	5.10	0.10	13.00	2.80	4.70	15.90	20.60	77.00
